type=electricity+generation&emission=direct&basis=annual
massCH4PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.00018
1991-01-01T00:00:00+00:00 (GMT),0.00017
1992-01-01T00:00:00+00:00 (GMT),0.00016
1993-01-01T00:00:00+00:00 (GMT),0.00016
1994-01-01T00:00:00+00:00 (GMT),0.00017
1995-01-01T00:00:00+00:00 (GMT),0.00017
1996-01-01T00:00:00+00:00 (GMT),0.00017
1997-01-01T00:00:00+00:00 (GMT),0.00017
1998-01-01T00:00:00+00:00 (GMT),0.00018
1999-01-01T00:00:00+00:00 (GMT),0.00018
2000-01-01T00:00:00+00:00 (GMT),0.00019
2001-01-01T00:00:00+00:00 (GMT),0.0002
2002-01-01T00:00:00+00:00 (GMT),0.0002
2003-01-01T00:00:00+00:00 (GMT),0.0002
2004-01-01T00:00:00+00:00 (GMT),0.0002
2005-01-01T00:00:00+00:00 (GMT),0.00021
2006-01-01T00:00:00+00:00 (GMT),0.00022
2007-01-01T00:00:00+00:00 (GMT),0.00023
2008-01-01T00:00:00+00:00 (GMT),0.00024
2009-01-01T00:00:00+00:00 (GMT),0.00025
